id,manglish,malayalam,english
2834,avalu vellamu urangunnu,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
2835,nee vellamu panee cheyyunnu,നീ വെള്ളം ജോലി ചെയ്യുന്നു,you is working water
2836,nammal chaya padikkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
2837,njan pusthakamu pokunnuu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
2838,avanu vittil kazhikkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
2839,avanu coffee pani cheyyunnu,അവൻ കാപ്പി ജോലി ചെയ്യുന്നു,he is working coffee
2840,njanu coffee oorangoonnoo,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
2841,ni veettilu oorangoonnoo,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2842,njanu schoolilu urangunnuu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
2843,nee chaya kazheekkunnu,നീ ചായ കഴിക്കുന്നു,you is eating tea
2844,nammal chaya urangunnuu,നാം ചായ ഉറങ്ങുന്നു,we is sleeping tea
2845,njanu poosthakam pani cheyyunnuu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
2846,ni padeekkunnu undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
2847,avan schoolilu oorangoonnoo,അവൻ സ്കൂളിൽ ഉറങ്ങുന്നു,he is sleeping at school
2848,avanu poosthakam kazhikkunnu,അവൻ പുസ്തകം കഴിക്കുന്നു,he is eating book
2849,njan coffeeu varoonnoo,ഞാൻ കാപ്പി വരുന്നു,I is coming coffee
2850,neeu veettilu pokunnu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
2851,aval vittil padeekkunnu,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
2852,ni veetteel padikkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
2853,avan officeilu padeekkunnu,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
2854,avanu veettil kazhikkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
2855,njanu officeil pokoonnoo,ഞാൻ ഓഫീസിൽ പോകുന്നു,I is going at office
2856,neeu veettil kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
2857,avan chaayau kazheekkunnu,അവൻ ചായ കഴിക്കുന്നു,he is eating tea
2858,avanu schoolil kazhikkoonnoo,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
2859,ni officeil kazhikkoonnoo,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
2860,nammalu veettilu panee cheyyunnu,നാം വീട്ടിൽ ജോലി ചെയ്യുന്നു,we is working at home
2861,nee coffeeu varoonnoo,നീ കാപ്പി വരുന്നു,you is coming coffee
2862,avanu vellamu oorangoonnoo,അവൻ വെള്ളം ഉറങ്ങുന്നു,he is sleeping water
2863,nee officeilu padeekkunnu,നീ ഓഫീസിൽ പഠിക്കുന്നു,you is studying at office
2864,neeu coffeeu kazhikkunnu,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
2865,avanu coffee pokunnuu,അവൻ കാപ്പി പോകുന്നു,he is going coffee
2866,njan veettilu pokunnuu,ഞാൻ വീട്ടിൽ പോകുന്നു,I is going at home
2867,avalu coffee urangunnu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
2868,nammalu coffee padeekkunnu,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
2869,nee offeeceeel pani cheyyunnu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
2870,neeu vellam padikkunnu,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
2871,njan poosthakam kazhikkunnuu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
2872,neeu vittil varunnu,നീ വീട്ടിൽ വരുന്നു,you is coming at home
2873,neeu veettil urangunnuu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2874,avanu chaaya urangunnuu,അവൻ ചായ ഉറങ്ങുന്നു,he is sleeping tea
2875,nammalu veettil padeekkunnu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
2876,avan schooleel urangunnuu,അവൻ സ്കൂളിൽ ഉറങ്ങുന്നു,he is sleeping at school
2877,nammal pusthakamu kazhikkoonnoo,നാം പുസ്തകം കഴിക്കുന്നു,we is eating book
2878,njan officeilu pani cheyyoonnoo,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
2879,avanu vittil pani cheyyunnuu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
2880,njan coffeeu kazhikkoonnoo,ഞാൻ കാപ്പി കഴിക്കുന്നു,I is eating coffee
2881,nee vellamu padikkunnu,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
2882,neeu schulil urangunnu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
2883,nammal poosthakam padikkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
2884,avan veetteel pani cheyyunnuu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
2885,ni chaayau urangunnu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
2886,nammal schulil padeekkunnu,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
2887,aval schoolilu pokunnuu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
2888,avanu veettil padikkunnuu,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
2889,njanu chaaya kazhikkoonnoo,ഞാൻ ചായ കഴിക്കുന്നു,I is eating tea
2890,ni coffee kazhikkunnu,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
2891,nammalu chaaya padeekkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
2892,avan chaya kazhikkunnu,അവൻ ചായ കഴിക്കുന്നു,he is eating tea
2893,avalu chaaya padikkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
2894,njanu schoolil urangunnuu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
2895,neeu schoolil pokunnuu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
2896,ni vellamu pani cheyyunnu,നീ വെള്ളം ജോലി ചെയ്യുന്നു,you is working water
2897,nee vittil varoonnoo,നീ വീട്ടിൽ വരുന്നു,you is coming at home
2898,ni coffee oorangoonnoo,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
2899,aval chaayau kazhikkunnu,അവൾ ചായ കഴിക്കുന്നു,she is eating tea
2900,avanu chaayau varoonnoo,അവൻ ചായ വരുന്നു,he is coming tea
2901,avan offeeceeel padikkunnuu,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
2902,nammal vittil varunnu,നാം വീട്ടിൽ വരുന്നു,we is coming at home
2903,avan vittil padikkunnuu,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
2904,nammal poosthakam pokunnu,നാം പുസ്തകം പോകുന്നു,we is going book
2905,nammalu schulil pokunnuu,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
2906,nammal vellamu oorangoonnoo,നാം വെള്ളം ഉറങ്ങുന്നു,we is sleeping water
2907,nammal veettilu kazhikkunnu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
2908,nee offeeceeel pani cheyyoonnoo,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
2909,ni veetteel padikkoonnoo,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
2910,neeu pusthakamu pokunnu,നീ പുസ്തകം പോകുന്നു,you is going book
2911,nammal vittil padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
2912,ni officeil pokoonnoo,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
2913,nee vittil kazhikkunnu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
2914,nee chaayau padikkunnuu,നീ ചായ പഠിക്കുന്നു,you is studying tea
2915,avanu chaaya pani cheyyoonnoo,അവൻ ചായ ജോലി ചെയ്യുന്നു,he is working tea
2916,nammalu schooleel urangunnu,നാം സ്കൂളിൽ ഉറങ്ങുന്നു,we is sleeping at school
2917,nammalu coffee padikkoonnoo,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
2918,ni officeilu pani cheyyunnu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
2919,avalu vellam urangunnuu,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
2920,neeu vittil urangunnu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
2921,neeu pusthakamu urangunnuu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
2922,avan pusthakamu padikkoonnoo,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
2923,neeu chaayau varunnuu,നീ ചായ വരുന്നു,you is coming tea
2924,aval vellamu urangunnuu,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
2925,avalu veettilu pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
2926,avalu officeilu varoonnoo,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
2927,avalu chaaya varunnu,അവൾ ചായ വരുന്നു,she is coming tea
2928,njan chaayau kazheekkunnu,ഞാൻ ചായ കഴിക്കുന്നു,I is eating tea
2929,avan officeilu pani cheyyunnuu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
2930,avanu veettil pani cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
2931,nammal chaya urangunnu,നാം ചായ ഉറങ്ങുന്നു,we is sleeping tea
2932,njan chaaya padeekkunnu,ഞാൻ ചായ പഠിക്കുന്നു,I is studying tea
2933,aval officeilu pani cheyyunnu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
2934,avan chaya padikkunnu,അവൻ ചായ പഠിക്കുന്നു,he is studying tea
2935,nee veetteel pani cheyyunnuu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
2936,nammal schulil padikkoonnoo,നാം സ്കൂളിൽ പഠിക്കുന്നു,we is studying at school
2937,njan chaayau kazhikkoonnoo,ഞാൻ ചായ കഴിക്കുന്നു,I is eating tea
2938,neeu vellamu kazhikkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
2939,njan officeilu kazhikkunnuu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
2940,nee coffi pani cheyyoonnoo,നീ കാപ്പി ജോലി ചെയ്യുന്നു,you is working coffee
2941,njan coffi pani cheyyoonnoo,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
2942,neeu chaya pokunnu,നീ ചായ പോകുന്നു,you is going tea
2943,njan veetteel oorangoonnoo,ഞാൻ വീട്ടിൽ ഉറങ്ങുന്നു,I is sleeping at home
2944,nammal veettilu varunnuu,നാം വീട്ടിൽ വരുന്നു,we is coming at home
2945,njanu chaaya varoonnoo,ഞാൻ ചായ വരുന്നു,I is coming tea
2946,aval schulil urangunnuu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
2947,avan vellamu pani cheyyunnuu,അവൻ വെള്ളം ജോലി ചെയ്യുന്നു,he is working water
2948,njan pusthakamu pani cheyyunnuu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
2949,njan chaayau urangunnuu,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
2950,neeu chaaya kazhikkunnuu,നീ ചായ കഴിക്കുന്നു,you is eating tea
2951,ni schoolilu urangunnu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
2952,njanu pani cheyyunnuu undo,ഞാൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is I working?
2953,njanu schooleel pani cheyyunnu,ഞാൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,I is working at school
2954,avan schulil kazheekkunnu,അവൻ സ്കൂളിൽ കഴിക്കുന്നു,he is eating at school
2955,nee schoolilu kazhikkoonnoo,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
2956,avan veetteel pokunnuu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
2957,nee poosthakam kazhikkoonnoo,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
